date,draw_number,Unclaimed Rate (%),Total Unclaimed Prize (KRW),Total Prize Amount (KRW),Consumer Sentiment Index,Unemployment Rate (%),KOSPI Index,Average Temperature (°C),Temperature Change (°C),Precipitation (mm),Sunshine Duration (hr),Holiday (0/1),Salary Week (0/1)
2024.10.3,231,0.93,"₩57,998,000 ","₩6,253,189,000 ",101.8,2.7,"3,657.28",14.5,8.3,4.7,150.9,1,0
2024.9.26,230,1.37,"₩49,459,000 ","₩3,601,504,000 ",100,2.5,"3,424.60",22.8,4.8,0.6,176.8,0,1
2024.9.19,229,1.30,"₩53,800,000 ","₩4,143,906,000 ",100,2.5,"3,424.60",27.6,1.6,1.3,176.8,0,0
2024.9.12,228,0.73,"₩50,035,000 ","₩6,867,973,000 ",100,2.5,"3,424.60",26,0.1,15.9,176.8,0,0
2024.9.5,227,1.27,"₩53,235,000 ","₩4,177,348,000 ",100,2.5,"3,424.60",26.1,0.9,0.9,176.8,0,0
2024.8.29,226,0.75,"₩50,923,000 ","₩6,813,478,000 ",100.8,2.4,"3,186.01",27,1.1,3.5,246.9,0,1
2024.8.22,225,0.75,"₩46,289,000 ","₩6,186,477,000 ",100.8,2.4,"3,186.01",28.1,0.2,4.6,246.9,0,1
2024.8.15,224,0.59,"₩40,572,000 ","₩6,824,772,000 ",100.8,2.4,"3,186.01",27.9,0.4,2.4,246.9,1,0
2024.8.8,223,0.69,"₩42,042,000 ","₩6,088,686,000 ",100.8,2.4,"3,186.01",27.5,1.7,3.6,246.9,0,0
2024.8.1,222,0.64,"₩43,605,000 ","₩6,802,016,000 ",100.8,2.4,"3,186.01",29.2,0.9,0,246.9,0,0
2024.7.25,221,0.66,"₩41,508,000 ","₩6,322,311,000 ",103.7,2.5,"3,245.44",28.3,2.6,4.9,140.4,0,1
2024.7.18,220,17.66,"₩641,696,000 ","₩3,633,201,000 ",103.7,2.5,"3,245.44",25.7,1.6,38.8,140.4,0,0
2024.7.11,219,1.09,"₩37,040,000 ","₩3,405,666,000 ",103.7,2.5,"3,245.44",24.1,2.6,3.5,140.4,0,0
2024.7.4,218,2.33,"₩42,196,000 ","₩1,812,614,000 ",103.7,2.5,"3,245.44",26.7,4.9,1.1,140.4,0,0
2024.6.27,217,1.19,"₩41,838,000 ","₩3,506,255,000 ",100.9,2.8,"3,071.70",21.8,2.2,0.9,248.1,0,1
2024.6.20,216,0.80,"₩51,323,000 ","₩6,382,240,000 ",100.9,2.8,"3,071.70",24,0.8,0.4,248.1,0,1
2024.6.13,215,0.71,"₩43,975,000 ","₩6,202,282,000 ",100.9,2.8,"3,071.70",24.8,4.2,0,248.1,0,0
